LoanId,OrderId,PortfolioId,NoteId,PortfolioName,Invested,InterestRate,Grade,LoanType,Term,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Note Issue Date,OrderDate,LoanStatusDate,Pending Principal Payment,Pending Interest,Purchased,installment,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,Loan Issue Date,1st Month Payment,application_type,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m
20117090,111084130,None,126432987,None,75.0,10.75%,B4,Personal,36,71.4347446949,UP,1,0.5332802121294643,4.8035357143,07/29/2016,Current,05/03/2016,04/28/2016,05/27/2016,0.0,0.0,0,456.69,Machinist,6 years,MORTGAGE,47000,Source Verified,2016-04-21,2016-05-12,2016-04-28,n,https://lendingclub.com/browse/loanDetail.action?loan_id=20117090,,credit_card,Credit card refinancing,667xx,KS,0,3,2302,66.7,84.7,15.22,0,0,2007-03-20,685,689,0,,,8,,14,2,10,0,23204,13402,54.9%,15000,22,f,13334.49,13334.49,896.66,896.66,665.51,231.15,0.0,0.0,0.0,2016-07-05,456.69,2016-07-29,2016-07-14,769,765,17988,13,,0,0,0,0,0,,10,1,9,106673,82743,8274,5,3,3,100,0,0,0,7,109,5,84,9,24400,5,8,0,04/29/2016,,INDIVIDUAL,,,,0,1,0,0,30,9802,54.5,1,3,5491,54.7,2,0,6
32448825,109818381,None,125889828,None,75.0,10.75%,B4,Personal,36,0.0,FLAT,1,0.0,75.4927734375,05/26/2016,Fully Paid,04/28/2016,04/24/2016,05/25/2016,0.0,0.0,0,417.55,Instructor,10+ years,MORTGAGE,103700,Source Verified,2016-04-17,2016-05-08,2016-04-24,n,https://lendingclub.com/browse/loanDetail.action?loan_id=32448825,,debt_consolidation,Debt consolidation,720xx,AR,0,3,2379,100,94.7,25.72,0,0,2005-05-16,670,674,0,,,3,,16,5,15,0,92560,53594,88.3%,44900,28,f,0.00,0.00,12884.1,12884.10,12800.00,84.10,0.0,0.0,0.0,2016-05-25,12891.74,,2016-05-16,674,670,53593,16,,0,0,0,0,0,,15,0,13,309189,271182,18079,11,9,9,100,0,0,0,7,93,11,131,13,60700,11,12,0,04/26/2016,,INDIVIDUAL,,,,0,2,0,0,26,38966,70,0,3,9621,84.5,6,1,8
71034638,106553417,None,121537130,None,75.0,6.97%,A3,Personal,36,69.3296669784,UP,1,0.3355748464125,6.915375,07/29/2016,Current,03/31/2016,03/24/2016,04/28/2016,0.0,0.0,0,308.64,Registered Nurse,8 years,MORTGAGE,62000,Not Verified,2016-03-21,2016-04-05,2016-03-22,n,https://lendingclub.com/browse/loanDetail.action?loan_id=71034638,,debt_consolidation,Debt consolidation,303xx,GA,0,1,2197,33.3,65.1,16.54,0,0,2003-08-20,700,704,0,,,4,,73,2,17,0,75631,4103,65.1%,6300,31,w,9243.96,9243.96,922.05,922.05,756.04,166.01,0.0,0.0,0.0,2016-07-05,308.64,2016-07-29,2016-07-14,734,730,67732,3,,0,0,0,0,0,,17,1,4,199234,183981,10822,3,3,3,100,0,0,0,25,151,3,120,73,6300,3,3,121,03/29/2016,,INDIVIDUAL,,,,1,12,1,1,4,65906,97.3,0,0,1979,94.9,0,0,1
72083695,109625042,None,125008872,None,75.0,14.46%,C4,Personal,36,69.9099357457,FLAT,1,0.1404024542890625,7.68015625,08/19/2016,Current,04/21/2016,04/19/2016,05/18/2016,0.0,0.0,0,165.13,ACH Specialist,6 years,MORTGAGE,42000,Not Verified,2016-04-15,2016-05-03,2016-04-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72083695,,credit_card,,665xx,KS,0,7,12540,50,44.3,27.57,0,0,2005-09-10,695,699,0,,,9,,8,1,9,0,24861,9960,44.3%,22500,18,f,4474.24,4474.24,491.53,491.53,325.76,165.77,0.0,0.0,0.0,2016-07-22,165.13,2016-08-19,2016-07-14,699,695,22488,12,,0,0,0,0,0,,9,3,8,200788,177285,19698,12,5,6,100,0,0,0,4,65,5,127,8,22500,5,6,0,04/19/2016,,JOINT,80000,21.54,Not Verified,0,2,2,3,9,14901,66.3,1,3,3529,55.3,3,2,4
72585800,105750488,None,120740626,None,75.0,12.989999999999998%,C2,Personal,36,69.7996031919,DOWN,1,0.829221526974671,7.5260032894,07/21/2016,Current,03/23/2016,03/18/2016,04/20/2016,1.7711298217648026,0.7555807045509868,0,512.08,Project Manager,< 1 year,MORTGAGE,53000,Verified,2016-03-10,2016-04-01,2016-03-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72585800,,credit_card,Credit card refinancing,151xx,PA,0,3,9997,33.3,54.8,18.7,0,0,2005-08-09,745,749,0,,,1,,28,2,15,0,46241,12103,54.8%,22100,23,f,14146.05,13913.39,1525.27,1500.18,1053.95,471.32,0.0,0.0,0.0,2016-06-24,512.08,2016-08-21,2016-07-14,734,730,47594,12,,0,0,0,0,0,,15,3,9,309365,282719,23560,7,1,3,100,0,0,0,9,127,1,127,28,22100,1,6,0,03/21/2016,,INDIVIDUAL,,,,0,7,1,1,9,34138,71.7,0,0,12103,66.3,0,0,2
73181903,105755053,None,120373284,None,75.0,11.99%,C1,Personal,36,67.9294944497,UP,1,0.1583700685875,9.8629928571,08/17/2016,Current,03/21/2016,03/16/2016,04/15/2016,0.0,0.0,0,1162.34,Director of Education,8 years,OWN,270000,Source Verified,2016-03-14,2016-03-30,2016-03-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73181903,,debt_consolidation,Debt consolidation,750xx,TX,0,10,31791,20,48.3,17.29,0,0,1992-04-14,735,739,0,,,8,,20,1,20,0,219686,68648,45.3%,61500,41,f,31700.43,31609.86,4602.73,4589.58,3299.57,1303.16,0.0,0.0,0.0,2016-07-21,1162.34,2016-08-17,2016-07-14,759,755,173683,18,,0,0,0,0,0,,20,3,4,702151,582382,30652,7,3,5,100,0,0,0,22,249,7,287,16,124600,7,12,0,03/17/2016,,INDIVIDUAL,,,,1,7,3,7,4,151038,89.9,0,3,15023,67.4,1,10,1
73355285,105784077,None,120336245,None,75.0,12.989999999999998%,C2,Personal,36,68.0278047154,DOWN,1,0.17182689674791668,9.9991666667,08/17/2016,Current,03/21/2016,03/16/2016,04/15/2016,0.0,0.0,0,121.29,client liaison,4 years,MORTGAGE,80000,Source Verified,2016-03-09,2016-03-30,2016-03-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73355285,,debt_consolidation,Debt consolidation,080xx,NJ,0,6,21649,40,58.5,28.41,0,0,2005-05-08,700,704,0,,,4,,15,6,20,0,96689,30551,50.5%,52200,45,f,3265.33,3265.33,479.96,479.96,334.67,145.29,0.0,0.0,0.0,2016-07-21,121.29,2016-08-17,2016-07-14,669,665,74656,14,,0,0,0,0,0,,20,1,1,462829,412146,21692,8,4,5,100,0,0,0,25,118,4,130,15,60500,4,8,0,03/17/2016,,INDIVIDUAL,,,,1,8,0,2,16,66138,88.6,0,3,17244,71.5,2,1,2
73386231,108165419,None,123668493,None,75.0,9.16%,B2,Personal,36,69.5039595734,UP,1,0.2299036529465,7.13365,08/11/2016,Current,04/13/2016,04/08/2016,05/10/2016,0.0,0.0,0,478.12,Manager,10+ years,MORTGAGE,52000,Not Verified,2016-03-17,2016-04-14,2016-03-31,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73386231,,credit_card,,631xx,MO,0,8,18735,28.6,48.3,24.95,0,0,2004-05-16,695,699,0,,,12,,11,2,14,0,30378,17974,40.2%,35700,21,w,13900.79,13900.79,1426.73,1426.73,1099.21,327.52,0.0,0.0,0.0,2016-07-14,478.12,2016-08-11,2016-07-14,789,785,24186,13,,0,0,0,0,0,,14,2,11,179009,139335,9953,10,5,7,100,0,0,0,5,142,6,132,11,44100,6,10,0,04/11/2016,,INDIVIDUAL,,,,0,3,0,2,18,12404,51.3,1,5,4537,44.5,0,0,1
73399152,106850471,None,122148542,None,75.0,7.39%,A4,Personal,36,69.3634553522,UP,1,0.341730623376,6.926025,07/31/2016,Current,04/04/2016,03/28/2016,04/29/2016,0.0,0.0,0,310.56,CONST MGMT INSPECTOR,10+ years,MORTGAGE,82000,Source Verified,2016-03-23,2016-04-07,2016-03-24,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73399152,,debt_consolidation,Debt consolidation,891xx,NV,0,5,10112,40,58.2,21.68,0,0,2006-04-23,700,704,0,,,16,,6,2,12,0,42553,24201,66.1%,24200,20,w,9248.46,9248.46,923.47,923.47,751.54,171.93,0.0,0.0,0.0,2016-07-06,310.56,2016-07-31,2016-07-14,719,715,39637,14,,0,0,0,0,0,,12,2,6,258778,209474,17456,9,4,5,100,0,0,0,4,57,6,119,6,36600,6,8,0,03/31/2016,,INDIVIDUAL,,,,1,3,1,2,10,18352,46.3,1,3,4719,55.8,1,2,0
73460067,106473235,None,120935358,None,75.0,8.39%,B1,Personal,36,69.4431460978,FLAT,1,0.5170160805011539,7.0563461539,07/22/2016,Current,03/24/2016,03/20/2016,04/21/2016,1.8782459009711538,0.48552332979807694,0,409.72,Network Specialist,10+ years,MORTGAGE,44952,Verified,2016-03-09,2016-03-29,2016-03-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73460067,,debt_consolidation,Debt consolidation,773xx,TX,0,4,3540,81.8,77,38.25,0,0,1987-03-09,705,709,0,,,15,,7,0,17,0,60390,31906,72%,38945,29,w,12036.81,12036.81,1223.1,1223.10,963.19,259.91,0.0,0.0,0.0,2016-06-27,409.72,2016-08-22,2016-07-14,709,705,52442,18,,0,0,0,0,0,,17,1,7,96837,57807,3400,14,11,14,100,0,0,,11,176,15,348,7,44395,14,15,0,03/22/2016,,INDIVIDUAL,,,,0,2,0,0,65,25901,49,1,4,13467,72,0,8,0
